"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BLG194809051","blacj103","BLG","1","value","27","","33","5","","","1","2","","1","","3","0","0","0","0","","","","","1","","","19480905","1","BAL14","PH5","W","regular","y"
"BLG194809051","blacj103","BLG","1","lower","","","","","","","","","","1","","3","0","0","0","","","","","","","","","19480905","1","BAL14","PH5","W","regular","y"
"BLG194809051","blacj103","BLG","1","upper","","","","","","","","","","1","","3","0","0","0","","","","","","","","","19480905","1","BAL14","PH5","W","regular","y"
"BLG194809122","blacj103","BLG","2","value","","","","","","","","","","","","","","","","","","","","","","1","","19480912","2","BAL14","NW2","L","regular",""
"BLG194809122","blacj103","BLG","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19480912","2","BAL14","NW2","L","regular",""
"BLG194809122","blacj103","BLG","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19480912","2","BAL14","NW2","L","regular",""
"HOM194809160","blacj103","BLG","1","value","24","0","35","8","1","0","0","5","5","4","0","0","0","0","0","0","0","","1","","1","","1","19480916","0","BAL14","HOM","L","lcs","y"
"HOM194809160","blacj103","BLG","1","lower","24","","31","8","1","0","0","5","","4","","0","0","0","0","0","","","","","","","","19480916","0","BAL14","HOM","L","lcs","y"
"HOM194809160","blacj103","BLG","1","upper","24","","35","8","1","0","0","5","","4","","4","0","0","0","0","","","","","","","","19480916","0","BAL14","HOM","L","lcs","y"
"ASW195008200","blacj103","ASE","1","value","9","","14","4","","","0","2","1","1","","0","0","0","0","1","","","","","1","","","19500820","0","CHI10","ASW","L","allstar","y"
"ASW195008200","blacj103","ASE","1","lower","9","","","4","","","0","2","1","1","","0","0","0","0","1","","","","","","","","19500820","0","CHI10","ASW","L","allstar","y"
"ASW195008200","blacj103","ASE","1","upper","9","","","4","","","0","2","1","1","","0","0","0","0","1","","","","","","","","19500820","0","CHI10","ASW","L","allstar","y"
