"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194807042","collg101","KCM","9","1","value","2","2","1","1","1","0","0","1","0","","0","0","0","","0","","","0","","","","","19480704","2","KAN05","CAG","w","regular","y"
"KCM194807052","collg101","KCM","9","4","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19480705","2","KAN05","CAG","w","regular","y"
"CAG194807112","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480711","2","CHI10","CAG","w","regular",""
"CAG194807160","collg101","KCM","9","1","value","3","3","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19480716","0","CHI10","CAG","w","regular","y"
"MEM194807200","collg101","KCM","9","2","value","","","1","1","","1","","","","","","","","","","","","","","","","","19480720","0","CHT01","MEM","w","regular",""
"MEM194807200","collg101","KCM","9","2","lower","","1","1","1","","1","","","","","","","","","","","","","","","","","19480720","0","CHT01","MEM","w","regular",""
"IN9194807220","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480722","0","IND10","IN9","w","regular",""
"KCM194807251","collg101","KCM","9","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19480725","1","KAN05","IN9","w","regular","y"
"KCM194808081","collg101","KCM","9","2","value","1","1","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19480808","1","KAN05","MEM","l","regular","y"
"KCM194808170","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480817","0","STL07","CAG","l","regular",""
"KCM194808220","collg101","KCM","9","1","value","4","4","1","1","0","1","0","1","0","","0","0","","","","","","","","","","","19480822","0","DEN03","MEM","w","exhibition","y"
"KCM194808260","collg101","KCM","9","1","value","4","4","1","3","2","0","0","2","0","0","0","0","0","","0","0","0","0","0","","","","19480826","0","KAN05","MEM","w","regular","y"
"IN9194809090","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480909","0","NWC01","IN9","w","regular",""
"KCM194809200","collg101","KCM","9","1","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19480920","0","KAN05","BIR","t","lcs","y"
"KCM194809210","collg101","KCM","9","1","value","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19480921","0","KAN05","BIR","w","lcs","y"
"KCM194904140","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19490414","0","MNL01","CAG","l","exhibition",""
"KCM194904190","collg101","KCM","","2","value","","","1","1","","","1","1","","","","","","","","","","","","","","","19490419","0","BAT01","NY6","w","exhibition",""
"KCM194904190","collg101","KCM","","2","lower","1","1","1","1","","","1","1","","","","","","","","","","","","","","","19490419","0","BAT01","NY6","w","exhibition",""
"IN9194904280","collg101","KCM","9","4","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19490428","0","CHA03","IN9","w","exhibition","y"
"BLG194905030","collg101","KCM","9","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490503","0","BAL14","BLG","l","regular","y"
"HOE194905181","collg101","KCM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19490518","1","SAT01","HOE","w","regular",""
"KCM194905230","collg101","KCM","9","1","value","4","4","2","2","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490523","0","KAN05","PH5","w","regular","y"
"KCM194905292","collg101","KCM","9","1","value","2","2","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490529","2","KAN05","IN9","w","regular","y"
