"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194407100","harvb101","BLG","9","2","value","1","1","0","1","1","0","0","1","0","","0","0","0","","1","","","0","","","","","19440710","0","HRB01","NW2","w","regular","y"
"BLG194407140","harvb101","BLG","9","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440714","0","BAL14","HOM","l","regular","y"
"BLG194407161","harvb101","BLG","9","3","value","1","0","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19440716","1","BAL14","PH5","l","regular","y"
"BLG194407162","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440716","2","BAL14","PH5","l","regular","y"
"BLG194407181","harvb101","BLG","9","1","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19440718","1","PHI11","HOM","l","regular","y"
"PH5194407290","harvb101","BLG","9","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440729","0","PHI17","PH5","l","regular","y"
"PH5194407301","harvb101","BLG","7","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440730","1","NYC16","PH5","l","regular","y"
"BLG194408050","harvb101","BLG","9","2","value","2","2","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440805","0","BAL14","NW2","w","regular","y"
"HOM194408080","harvb101","BLG","8","1","value","3","2","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","","19440808","0","ALT02","HOM","l","regular","y"
"HOM194408090","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440809","0","COL05","HOM","l","regular",""
"NY6194408132","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440813","2","NYC14","NY6","l","exhibition",""
"BLG194408180","harvb101","BLG","9","2","value","1","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440818","0","BAL14","NY6","w","regular","y"
"NY6194408190","harvb101","BLG","7","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440819","0","HRB01","NY6","l","regular","y"
"BLG194408202","harvb101","BLG","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440820","2","BAL14","NY6","l","regular","y"
"NW2194408220","harvb101","BLG","6","1","value","5","3","1","2","1","0","0","0","0","","0","2","","","0","","","0","","","","","19440822","0","HRB01","NW2","w","regular","y"
"BLG194409032","harvb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440903","2","BAL14","NY5","w","regular","y"
"BLG194409060","harvb101","BLG","","","value","","","1","1","1","","","1","","","","","","","","","","","","","","","19440906","0","NOR02","NY5","w","exhibition",""
"BLG194409060","harvb101","BLG","","","lower","","1","1","1","1","","","1","","","","","","","","","","","","","","","19440906","0","NOR02","NY5","w","exhibition",""
