"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"MEM194606092","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460609","2","MEM03","MEM","L","regular",""
"MEM194606092","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460609","2","MEM03","MEM","L","regular",""
"KCM194607010","poweb103","BIR","9","1","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","poweb103","BIR","9","1","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","poweb103","BIR","9","1","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"BIR194607142","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"BIR194607142","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"BIR194607142","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"NY6194607200","poweb103","BIR","9","1","value","4","0","1","1","0","0","1","0","","0","0","0","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"NY6194607200","poweb103","BIR","9","1","lower","4","0","1","1","0","0","1","0","","0","","","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"NY6194607200","poweb103","BIR","9","1","upper","4","0","1","1","0","0","1","0","","0","","","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"CVB194607290","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"CVB194607290","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"CVB194607290","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"BIR194608112","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460811","2","BIR01","IN9","L","regular",""
"BIR194608112","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460811","2","BIR01","IN9","L","regular",""
"BIR194608112","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460811","2","BIR01","IN9","L","regular",""
"BIR194608182","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460818","2","BIR01","CVB","T","exhibition",""
"BIR194608182","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460818","2","BIR01","CVB","T","exhibition",""
"BIR194608182","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460818","2","BIR01","CVB","T","exhibition",""
"MEM194609021","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460902","1","MEM03","MEM","W","regular",""
"MEM194609021","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460902","1","MEM03","MEM","W","regular",""
"MEM194609021","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460902","1","MEM03","MEM","W","regular",""
"BIR194609292","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19460929","2","BIR01","MEM","T","exhibition",""
