"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"HOM194409030","jackj104","HOM","1","4","value","24","","","0","0","0","","","","","1","19440903","0","WAS09","PH5","l","regular","y"
"HOM194409030","jackj104","HOM","2","6","value","3","","","0","0","0","","","","","1","19440903","0","WAS09","PH5","l","regular","y"
"HOM194409130","jackj104","HOM","1","4","value","24","2","3","0","0","0","","","","","1","19440913","0","WAP01","CVB","t","exhibition","y"
"HOM194409140","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19440914","0","WAS09","CVB","w","exhibition","y"
"BIR194409170","jackj104","HOM","1","4","value","27","3","6","0","0","0","","","","","1","19440917","0","BIR01","BIR","w","championship","y"
"BIR194409190","jackj104","HOM","1","4","value","27","4","1","1","0","0","","","","","1","19440919","0","NOL01","BIR","w","championship","y"
"BIR194409210","jackj104","HOM","1","4","value","27","2","3","0","0","0","","","","","1","19440921","0","BIR01","BIR","w","championship","y"
"HOM194409230","jackj104","HOM","1","4","value","27","1","3","0","0","0","","","","","1","19440923","0","PIT06","BIR","l","championship","y"
"HOM194409240","jackj104","HOM","1","4","value","27","3","2","0","0","0","","","","","1","19440924","0","WAS09","BIR","w","championship","y"
"HOM194409290","jackj104","HOM","1","4","value","","1","3","0","0","0","","","","","1","19440929","0","PHI11","BIR","l","regular","y"
"HOM194409291","jackj104","HOM","1","4","value","","1","3","0","","0","0","","","","1","19440929","1","PHI11","BIR","l","exhibition","y"
"HOM194410011","jackj104","HOM","1","4","value","27","3","2","0","1","0","","","","","1","19441001","1","NYC16","BIR","w","regular","y"
"HOM194410012","jackj104","HOM","1","4","value","27","1","1","0","0","0","","","","","1","19441001","2","NYC16","BIR","w","regular","y"
"HOM194505120","jackj104","HOM","1","4","value","27","3","4","0","0","0","","","","","1","19450512","0","PIT06","NY5","l","regular","y"
"HOM194505131","jackj104","HOM","1","4","value","27","5","5","0","1","0","","","","","1","19450513","1","WAS09","NY5","w","regular","y"
"HOM194505201","jackj104","HOM","1","4","value","27","2","1","1","0","0","","","","","1","19450520","1","WAS09","NY6","w","regular","y"
"PH5194505210","jackj104","HOM","1","4","value","27","1","1","1","0","0","","","","","1","19450521","0","PHI11","PH5","w","regular","y"
"NY6194505230","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19450523","0","NYC14","NY6","w","regular","y"
"BLG194505250","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19450525","0","BAL14","BLG","w","regular","y"
"BLG194505280","jackj104","HOM","1","4","value","27","","","0","1","0","","","","","1","19450528","0","BAL14","BLG","w","regular","y"
"HOM194506031","jackj104","HOM","1","4","value","27","0","3","0","0","0","","","","","1","19450603","1","DET04","BLG","w","regular","y"
"HOM194506032","jackj104","HOM","1","4","value","18","2","1","1","0","0","","","","","1","19450603","2","DET04","BLG","w","regular","y"
