"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HOM194207290","partr102","HOM","1","value","18","","","8","","","1","3","","","","","","","","","","","","","1","","","1","","1","19420729","0","NPN01","PH5","w","exhibition",""
"HOM194208022","partr102","HOM","1","value","21","","29","5","0","0","0","2","","1","","1","0","0","0","0","","","","","1","","","1","","1","19420802","2","WAS09","BIR","w","exhibition","y"
"CCB194208110","partr102","HOM","1","value","27","","","1","1","","","3","","","","","","","","","","","","","1","","","1","","1","19420811","0","CIN07","CCB","w","exhibition",""
"HOM194208162","partr102","HOM","1","value","21","","26","4","0","0","0","0","0","2","","1","0","0","0","0","","","","","1","","","1","","1","19420816","2","WAS09","NY6","w","exhibition","y"
"HOM194208190","partr102","HOM","2","value","11","","12","1","0","0","0","0","","0","0","4","0","0","0","","0","","","","","","","","1","","19420819","0","OIL01","CAG","w","exhibition","y"
"HOM194208230","partr102","HOM","1","value","19","","28","7","0","0","0","4","","0","0","3","0","0","0","1","0","","","","1","","","1","","","19420823","0","WAS09","PH5","w","regular","y"
"CAG194208302","partr102","HOM","1","value","21","0","23","0","0","0","0","0","0","4","0","8","0","0","0","0","0","0","2","0","1","","","1","","1","19420830","2","CHI10","CAG","w","regular","y"
"HOM194209100","partr102","HOM","1","value","23","0","35","9","3","1","0","5","5","1","0","3","0","0","0","1","0","3","0","0","","1","","1","","","19420910","0","PIT06","KCM","l","championship","y"
"PH5194209160","partr102","HOM","1","value","36","","45","9","1","1","1","5","","","","","0","0","0","0","","","","","","","","1","","1","19420916","0","PHI17","PH5","t","exhibition","y"
"HOM194209290","partr102","HOM","1","value","4","0","10","2","0","1","0","1","1","4","0","2","0","0","0","0","0","1","0","1","","","","1","","","19420929","0","PHI11","KCM","l","championship","y"
"HOM194210040","partr102","HOM","1","value","21","","","","","","","","","","","","","","","","","","","","","1","","1","","","19421004","0","POR01","KCM","l","exhibition",""
"HOM194210040","partr102","HOM","1","upper","27","","","","","","","","","","","","","","","","","","","","","","","","","","19421004","0","POR01","KCM","l","exhibition",""
"HOM194305180","partr102","HOM","1","value","","","","","","","","","","","","","","","","","","","","","1","","","1","","","19430518","0","NPN01","BLG","w","regular",""
"HOM194308072","partr102","HOM","2","value","17","","25","8","0","0","0","6","","2","0","","0","0","0","","0","","","","1","","","","1","","19430807","2","PIT06","NW2","w","regular","y"
"HOM194308100","partr102","HOM","1","value","1","","6","5","0","0","0","4","","0","0","0","0","0","0","0","0","","","","","1","","1","","","19430810","0","WAS09","KCM","l","exhibition","y"
"HOM194308140","partr102","HOM","2","value","12","","14","3","0","0","0","0","","0","0","3","0","0","0","0","0","","","","","","1","","1","","19430814","0","WAS09","NY6","w","regular","y"
"HOM194308221","partr102","HOM","1","value","27","","37","10","2","0","0","3","","1","","5","0","0","0","0","","","","","1","","","1","","1","19430822","1","WAS09","BLG","w","regular","y"
"HOM194309020","partr102","HOM","1","value","12","2","21","4","0","0","0","4","","4","0","2","1","0","0","","0","","","","","1","","1","","","19430902","0","WAS09","PH5","l","regular","y"
"BLG194309100","partr102","HOM","1","value","27","","33","6","0","0","1","1","","1","","10","0","0","0","0","","","","","1","","","1","","1","19430910","0","BAL14","BLG","w","exhibition","y"
"NNS194309180","partr102","HOM","2","value","12","","18","4","0","0","0","1","","1","0","","0","0","0","0","0","","","","1","","","","1","","19430918","0","PHI17","NNS","w","exhibition","y"
"HOM194309240","partr102","HOM","1","value","16","0","22","5","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","0","","","","1","","","19430924","0","WAS09","BIR","w","championship","y"
"BIR194310030","partr102","HOM","1","value","32","0","44","10","1","1","0","1","1","2","0","6","0","0","0","0","0","0","1","0","","1","","1","","1","19431003","0","BIR01","BIR","l","championship","y"
"BIR194310070","partr102","HOM","2","value","4","","9","3","","","0","4","","2","","1","0","0","0","1","","","","","","1","","","","","19431007","0","BIR01","BIR","l","regular","y"
"HOM194406260","partr102","HOM","1","value","27","","","9","","","","4","","","","","","1","","","","","","","1","","","1","","1","19440626","0","WAS09","KCM","w","exhibition",""
"NW2194407022","partr102","HOM","1","value","21","","","9","","","","5","","","","","","","","","","","","","1","","","1","","1","19440702","2","NWK04","NW2","w","regular",""
"BLG194505061","partr102","PH5","1","value","26","","36","8","1","2","1","6","6","2","","3","0","0","0","0","","","","","","1","","1","","1","19450506","1","BAL14","BLG","l","regular","y"
"NY6194505130","partr102","PH5","1","value","27","","39","7","1","0","0","2","0","3","","3","2","0","0","3","","","","","1","","","1","","1","19450513","0","NYC16","NY6","w","regular","y"
"NW2194505201","partr102","PH5","1","value","27","","34","8","0","0","0","3","","3","","","0","0","0","0","","","","","1","","","1","","1","19450520","1","NWK04","NW2","w","regular","y"
"PH5194505240","partr102","PH5","1","value","9","","14","5","0","0","0","1","","","0","","0","0","0","","0","","","","","","","1","","","19450524","0","PHI17","NY5","w","regular","y"
"PH5194506090","partr102","PH5","2","value","12","","16","4","0","0","0","1","","1","0","3","0","0","0","","0","","","","","","","","","","19450609","0","PHI17","NY5","t","regular","y"
"NY5194506171","partr102","PH5","1","value","3","","5","2","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","1","","","19450617","1","NYC16","NY5","w","regular","y"
"BLG194506241","partr102","PH5","2","value","15","","18","3","0","0","0","1","","1","0","","0","0","0","","0","","","","1","","","","1","","19450624","1","BAL14","BLG","w","regular","y"
"HOM194507081","partr102","PH5","1","value","24","","45","14","6","1","0","8","","4","","7","0","0","0","1","1","","","","","1","","1","","1","19450708","1","WAS09","HOM","l","regular","y"
"PH5194507111","partr102","PH5","1","value","27","","45","13","4","0","1","5","5","3","","10","1","0","0","0","","","","","","1","","1","","1","19450711","1","PHI11","NW2","l","regular","y"
"HOM194507260","partr102","PH5","1","value","27","","32","6","1","0","0","2","","6","","8","0","0","0","0","","","","","1","","","1","","1","19450726","0","WAS09","HOM","w","regular","y"
"PH5194508020","partr102","PH5","1","value","27","","37","8","2","1","0","1","1","2","","","0","0","0","0","","","","","1","","","1","","1","19450802","0","PHI17","BLG","w","regular","y"
"PH5194508040","partr102","PH5","5","value","12","","14","2","0","0","0","1","","0","0","","0","0","0","0","0","","","","","","","","1","","19450804","0","PHI17","NY5","l","regular","y"
"PH5194508072","partr102","PH5","1","value","6","","11","3","0","0","0","2","","1","0","5","0","0","0","","0","","","","","","","1","","","19450807","2","PHI11","BIR","w","exhibition","y"
"PH5194508130","partr102","PH5","3","value","9","","10","1","0","0","0","0","0","0","0","4","0","0","0","0","0","","","","","","","","1","","19450813","0","WIL04","BIR","t","exhibition","y"
"PH5194508161","partr102","PH5","2","value","15","","19","1","0","0","0","0","","3","0","6","0","0","0","0","0","","","","","","","","1","","19450816","1","WAS09","MEM","l","exhibition","y"
"NW2194508192","partr102","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19450819","2","NWK04","NW2","l","regular",""
"BLG194508262","partr102","PH5","3","value","11","","11","0","0","0","0","0","","0","0","","0","0","0","","0","","","","","","","","1","","19450826","2","BAL14","BLG","w","regular","y"
"PH5194508302","partr102","PH5","1","value","15","","22","4","0","0","0","1","","3","0","","0","0","0","","0","","","","1","","","1","","","19450830","2","PHI11","NW2","w","regular","y"
"PH5194509021","partr102","PH5","1","value","27","","","6","","","","1","","","","9","","","","","","","","","1","","","1","","1","19450902","1","NYC16","CIA","w","exhibition",""
"PH5194509092","partr102","PH5","1","value","21","","26","5","0","0","0","2","","","","","0","0","0","0","","","","","1","","","1","","1","19450909","2","DET04","KCM","w","exhibition","y"
