"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PTC193509200","harrc104","PTC","7","1","upper","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350920","0","PHI17","NY6","W","lcs","y"
"NY6193509210","harrc104","PTC","7","1","value","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350921","0","PHI17","NY6","W","lcs","y"
"NY6193509210","harrc104","PTC","7","1","lower","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350921","0","PHI17","NY6","W","lcs","y"
"NY6193509210","harrc104","PTC","7","1","upper","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350921","0","PHI17","NY6","W","lcs","y"
"SHR193510090","harrc104","PTC","7","1","value","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","19351009","0","DAY03","SHR","W","exhibition","y"
"SHR193510090","harrc104","PTC","7","1","lower","3","0","0","0","0","0","0","1","","0","0","","","0","0","","","","","","19351009","0","DAY03","SHR","W","exhibition","y"
"SHR193510090","harrc104","PTC","7","1","upper","3","0","0","0","0","0","0","1","","0","0","","","0","0","","","","","","19351009","0","DAY03","SHR","W","exhibition","y"
"ALM193510250","harrc104","PTC","7","1","value","6","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19351025","0","MEX01","ALM","T","exhibition","y"
"ALM193510250","harrc104","PTC","7","1","lower","6","1","1","1","0","0","0","0","","0","0","","","0","","","","","","","19351025","0","MEX01","ALM","T","exhibition","y"
"ALM193510250","harrc104","PTC","7","1","upper","6","1","1","1","0","0","0","0","","0","0","","","0","","","","","","","19351025","0","MEX01","ALM","T","exhibition","y"
"ALM193510260","harrc104","PTC","7","1","value","3","0","2","0","0","0","0","0","","0","0","","","0","","","","","","","19351026","0","MEX01","ALM","L","exhibition","y"
"ALM193510260","harrc104","PTC","7","1","lower","3","0","2","0","0","0","0","0","","0","0","","","0","","","","","","","19351026","0","MEX01","ALM","L","exhibition","y"
"ALM193510260","harrc104","PTC","7","1","upper","3","0","2","0","0","0","0","0","","0","0","","","0","","","","","","","19351026","0","MEX01","ALM","L","exhibition","y"
"ALM193510270","harrc104","PTC","7","1","value","4","1","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19351027","0","MEX01","ALM","L","exhibition","y"
"ALM193510270","harrc104","PTC","7","1","lower","4","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","19351027","0","MEX01","ALM","L","exhibition","y"
"ALM193510270","harrc104","PTC","7","1","upper","4","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","19351027","0","MEX01","ALM","L","exhibition","y"
"ASW193608230","harrc104","ASW","8","1","value","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19360823","0","CHI10","ASE","L","allstar","y"
"ASW193608230","harrc104","ASW","8","1","lower","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19360823","0","CHI10","ASE","L","allstar","y"
"ASW193608230","harrc104","ASW","8","1","upper","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19360823","0","CHI10","ASE","L","allstar","y"
"PH5193909130","harrc104","PH5","4","1","value","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19390913","0","PHI17","HOM","W","divisionseries","y"
"PH5193909130","harrc104","PH5","4","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","","","","","19390913","0","PHI17","HOM","W","divisionseries","y"
"PH5193909130","harrc104","PH5","4","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","","","","","19390913","0","PHI17","HOM","W","divisionseries","y"
"PH5193909140","harrc104","PH5","6","1","value","4","0","1","1","0","0","","0","","0","0","","","0","","","","","","","19390914","0","PHI17","HOM","L","divisionseries","y"
"PH5193909140","harrc104","PH5","6","1","lower","4","0","1","0","0","0","","0","","0","","","","0","","","","","","","19390914","0","PHI17","HOM","L","divisionseries","y"
"PH5193909140","harrc104","PH5","6","1","upper","4","0","1","1","0","0","","0","","0","","","","0","","","","","","","19390914","0","PHI17","HOM","L","divisionseries","y"
"PH5194005110","harrc104","PH5","6","1","value","4","1","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","","","","19400511","0","PHI17","BLG","L","regular","y"
"PH5194005110","harrc104","PH5","6","1","lower","4","1","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","","","","19400511","0","PHI17","BLG","L","regular","y"
"PH5194005110","harrc104","PH5","6","1","upper","4","1","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","","","","19400511","0","PHI17","BLG","L","regular","y"
"BLG194005121","harrc104","PH5","6","1","value","4","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400512","1","BAL09","BLG","L","regular","y"
"BLG194005121","harrc104","PH5","6","1","lower","4","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400512","1","BAL09","BLG","L","regular","y"
"BLG194005121","harrc104","PH5","6","1","upper","4","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19400512","1","BAL09","BLG","L","regular","y"
