"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194705301","grifb102","NY5","2","4","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470530","1","BAL14","BLG","L","regular","y"
"BLG194705302","grifb102","NY5","9","1","value","2","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470530","2","BAL14","BLG","L","regular","y"
"BLG194705302","grifb102","NY5","9","1","lower","2","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470530","2","BAL14","BLG","L","regular","y"
"BLG194705302","grifb102","NY5","9","1","upper","2","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470530","2","BAL14","BLG","L","regular","y"
"BLG194706151","grifb102","NY5","9","1","value","4","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19470615","1","BAL14","BLG","L","regular","y"
"BLG194706151","grifb102","NY5","9","1","lower","4","0","1","1","0","0","0","0","","0","","","","0","","","0","","","","19470615","1","BAL14","BLG","L","regular","y"
"BLG194706151","grifb102","NY5","9","1","upper","4","0","1","1","0","0","0","0","","0","","","","0","","","0","","","","19470615","1","BAL14","BLG","L","regular","y"
"NW2194706222","grifb102","NY5","9","1","value","3","0","0","","","","","","","","0","0","","","","","","","","","19470622","2","NWK04","NW2","L","regular","y"
"NW2194706222","grifb102","NY5","9","1","lower","3","0","0","","","","","","","","","","","","","","","","","","19470622","2","NWK04","NW2","L","regular","y"
"NW2194706222","grifb102","NY5","9","1","upper","3","0","0","","","","","","","","","","","","","","","","","","19470622","2","NWK04","NW2","L","regular","y"
"NY5194706230","grifb102","NY5","9","2","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19470623","0","NYC23","HOM","L","regular","y"
"NY5194706230","grifb102","NY5","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470623","0","NYC23","HOM","L","regular","y"
"NY5194706230","grifb102","NY5","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470623","0","NYC23","HOM","L","regular","y"
"BLG194706241","grifb102","NY5","9","3","value","2","1","2","0","0","0","2","0","","0","0","0","","0","","","0","","1","","19470624","1","BAL14","BLG","L","regular","y"
"BLG194706241","grifb102","NY5","9","3","lower","2","1","2","0","0","0","2","0","","0","","","","0","","","0","","","","19470624","1","BAL14","BLG","L","regular","y"
"BLG194706241","grifb102","NY5","9","3","upper","2","1","2","0","0","0","2","0","","0","","","","0","","","0","","","","19470624","1","BAL14","BLG","L","regular","y"
"NY5194706291","grifb102","NY5","","","value","","","","","","","","","","","","","","","","","","","","","19470629","1","NYC16","NW2","L","regular",""
"NY5194706291","grifb102","NY5","","","lower","","","","","","","","","","","","","","","","","","","","","19470629","1","NYC16","NW2","L","regular",""
"NY5194706291","grifb102","NY5","","","upper","","","","","","","","","","","","","","","","","","","","","19470629","1","NYC16","NW2","L","regular",""
"MEM194707061","grifb102","NY5","","","value","","","","","","","","","","","","","","","","","","","","","19470706","1","MEM02","MEM","L","exhibition",""
"MEM194707061","grifb102","NY5","","","lower","","","","","","","","","","","","","","","","","","","","","19470706","1","MEM02","MEM","L","exhibition",""
"MEM194707061","grifb102","NY5","","","upper","","","","","","","","","","","","","","","","","","","","","19470706","1","MEM02","MEM","L","exhibition",""
"NY5194707131","grifb102","NY5","","","value","","","","","","","","","","","","","","","","","","","","","19470713","1","NYC16","NY6","L","regular",""
