"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194605090","davip102","BIR","4","1","upper","4","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","19460509","0","BIR01","CVB","W","regular","y"
"BIR194605121","davip102","BIR","","","value","","","3","","","","","","","","","","","","","","","","","","19460512","1","BIR01","CVB","W","regular",""
"BIR194605121","davip102","BIR","","","lower","","","3","","","","","","","","","","","","","","","","","","19460512","1","BIR01","CVB","W","regular",""
"BIR194605121","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460512","1","BIR01","CVB","W","regular",""
"MEM194605191","davip102","BIR","","","value","","1","1","","","1","3","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"MEM194605191","davip102","BIR","","","lower","","1","1","","","1","3","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"MEM194605191","davip102","BIR","","","upper","","","","","","1","-1","","","","","","","","","","","","","","19460519","1","MEM03","MEM","L","regular",""
"BIR194605280","davip102","BIR","","","value","","1","1","","","","1","","","","","","","","","","","","","","19460528","0","ATL04","MEM","L","regular",""
"BIR194605280","davip102","BIR","","","lower","","1","1","","","","1","","","","","","","","","","","","","","19460528","0","ATL04","MEM","L","regular",""
"BIR194605280","davip102","BIR","","","upper","","2","","","","","1","","","","","","","","","","","","","","19460528","0","ATL04","MEM","L","regular",""
"CAG194606030","davip102","BIR","4","1","value","4","2","1","0","1","0","0","0","","0","1","","","1","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"CAG194606030","davip102","BIR","4","1","lower","4","2","1","0","1","0","0","0","","0","1","","","1","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"CAG194606030","davip102","BIR","4","1","upper","4","2","1","0","1","0","0","0","","0","1","","","1","","","0","","","","19460603","0","DAV01","CAG","W","regular","y"
"CAG194606040","davip102","BIR","4","1","value","2","0","1","0","0","0","","0","","0","3","","","0","","","0","","","","19460604","0","SBD01","CAG","W","regular","y"
"CAG194606040","davip102","BIR","4","1","lower","2","0","1","0","0","0","","0","","0","3","","","0","","","0","","","","19460604","0","SBD01","CAG","W","regular","y"
"CAG194606040","davip102","BIR","4","1","upper","2","0","1","0","0","0","","0","","0","3","","","0","","","0","","","","19460604","0","SBD01","CAG","W","regular","y"
"CAG194606060","davip102","BIR","","","value","","1","1","","","1","1","","","","","","","","","","","","","","19460606","0","CHI10","CAG","W","regular",""
"CAG194606060","davip102","BIR","","","lower","","1","1","","","1","1","","","","","","","","","","","","","","19460606","0","CHI10","CAG","W","regular",""
"CAG194606060","davip102","BIR","","","upper","","","","","","1","-1","","","","","","","","","","","","","","19460606","0","CHI10","CAG","W","regular",""
"KCM194606301","davip102","BIR","4","1","value","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19460630","1","KAN05","KCM","L","regular","y"
"KCM194606301","davip102","BIR","4","1","lower","4","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19460630","1","KAN05","KCM","L","regular","y"
"KCM194606301","davip102","BIR","4","1","upper","4","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19460630","1","KAN05","KCM","L","regular","y"
"KCM194606302","davip102","BIR","4","1","value","3","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19460630","2","KAN05","KCM","L","regular","y"
"KCM194606302","davip102","BIR","4","1","lower","3","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19460630","2","KAN05","KCM","L","regular","y"
"KCM194606302","davip102","BIR","4","1","upper","3","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19460630","2","KAN05","KCM","L","regular","y"
"KCM194607010","davip102","BIR","4","1","value","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","davip102","BIR","4","1","lower","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","davip102","BIR","4","1","upper","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460701","0","KAN05","KCM","L","regular","y"
"CAG194607071","davip102","BIR","3","1","value","4","1","1","0","1","0","0","0","","0","0","0","","0","","","0","","","","19460707","1","CHI10","CAG","L","regular","y"
"CAG194607071","davip102","BIR","3","1","lower","4","1","1","0","1","0","0","0","","0","0","0","","0","","","0","","","","19460707","1","CHI10","CAG","L","regular","y"
"CAG194607071","davip102","BIR","3","1","upper","4","1","1","0","1","0","0","0","","0","0","0","","0","","","0","","","","19460707","1","CHI10","CAG","L","regular","y"
"CAG194607080","davip102","BIR","3","1","value","4","1","1","1","0","0","0","0","","0","1","","","0","","","0","","","","19460708","0","SBD01","CAG","L","regular","y"
"CAG194607080","davip102","BIR","3","1","lower","4","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19460708","0","SBD01","CAG","L","regular","y"
"CAG194607080","davip102","BIR","3","1","upper","4","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19460708","0","SBD01","CAG","L","regular","y"
"HOM194607120","davip102","BIR","","","value","","","1","","1","","","","","","","","","","","","","","","","19460712","0","DAY03","HOM","T","exhibition",""
"HOM194607120","davip102","BIR","","","lower","1","","1","","1","","","","","","","","","","","","","","","","19460712","0","DAY03","HOM","T","exhibition",""
"HOM194607120","davip102","BIR","","","upper","1","","","","1","","","","","","","","","","","","","","","","19460712","0","DAY03","HOM","T","exhibition",""
"BIR194607141","davip102","BIR","","","value","5","","3","","","","","","","","","","","","","","","","","","19460714","1","BIR01","CCR","W","exhibition",""
"BIR194607141","davip102","BIR","","","lower","5","","3","","","","","","","","","","","","","","","","","","19460714","1","BIR01","CCR","W","exhibition",""
"BIR194607141","davip102","BIR","","","upper","5","","3","","","","","","","","","","","","","","","","","","19460714","1","BIR01","CCR","W","exhibition",""
"BIR194607142","davip102","BIR","","","value","","","0","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"BIR194607142","davip102","BIR","","","lower","","","0","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"BIR194607142","davip102","BIR","","","upper","","","0","","","","","","","","","","","","","","","","","","19460714","2","BIR01","CCR","W","exhibition",""
"NY6194607200","davip102","BIR","3","1","value","4","1","2","1","0","0","0","0","","0","1","","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"NY6194607200","davip102","BIR","3","1","lower","4","1","2","1","0","0","0","0","","0","","","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"NY6194607200","davip102","BIR","3","1","upper","4","1","2","1","0","0","0","0","","0","","","","0","","","0","","","","19460720","0","WIL04","NY6","W","exhibition","y"
"CVB194607290","davip102","BIR","","","value","","1","1","","","","1","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"CVB194607290","davip102","BIR","","","lower","1","1","1","","","","1","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"CVB194607290","davip102","BIR","","","upper","1","1","","","","","1","","","","","","","","","","","","","","19460729","0","CLE07","CVB","L","regular",""
"ASE194608150","davip102","ASW","4","1","value","4","1","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","","","","19460815","0","WAS09","ASE","L","allstar","y"
"ASE194608150","davip102","ASW","4","1","lower","4","1","2","0","0","0","1","0","","0","0","0","0","0","","","0","","","","19460815","0","WAS09","ASE","L","allstar","y"
"ASE194608150","davip102","ASW","4","1","upper","4","1","2","0","0","0","1","0","","0","0","0","1","0","","","0","","","","19460815","0","WAS09","ASE","L","allstar","y"
"ASW194608180","davip102","ASW","4","1","value","3","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","","","","19460818","0","CHI10","ASE","W","allstar","y"
"ASW194608180","davip102","ASW","4","1","lower","3","1","1","0","0","0","1","0","","0","","","","0","","","0","","","","19460818","0","CHI10","ASE","W","allstar","y"
"ASW194608180","davip102","ASW","4","1","upper","3","1","1","0","0","0","1","0","","0","","","","0","","","0","","","","19460818","0","CHI10","ASE","W","allstar","y"
"CVB194608251","davip102","BIR","3","1","value","3","1","0","0","0","0","","0","","0","2","","","0","","","0","","","","19460825","1","CLE06","CVB","W","regular","y"
"CVB194608251","davip102","BIR","3","1","lower","3","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19460825","1","CLE06","CVB","W","regular","y"
"CVB194608251","davip102","BIR","3","1","upper","3","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19460825","1","CLE06","CVB","W","regular","y"
"CVB194705040","davip102","BIR","4","1","value","3","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","19470504","0","CLE06","CVB","L","regular","y"
"CVB194705040","davip102","BIR","4","1","lower","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19470504","0","CLE06","CVB","L","regular","y"
"CVB194705040","davip102","BIR","4","1","upper","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19470504","0","CLE06","CVB","L","regular","y"
"CVB194705080","davip102","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470508","0","HUN01","CVB","W","regular",""
"CVB194705080","davip102","BIR","","","lower","1","","","","","","","","","","","","","","","","","","","","19470508","0","HUN01","CVB","W","regular",""
"CVB194705080","davip102","BIR","","","upper","1","","","","","","","","","","","","","","","","","","","","19470508","0","HUN01","CVB","W","regular",""
"BIR194705130","davip102","BIR","","","value","","1","","","","","","","","","1","","","","","","","","","","19470513","0","SHR01","KCM","W","regular",""
"BIR194705130","davip102","BIR","","","lower","","1","","","","","","","","","1","","","","","","","","","","19470513","0","SHR01","KCM","W","regular",""
"BIR194705130","davip102","BIR","","","upper","","1","","","","","","","","","1","","","","","","","","","","19470513","0","SHR01","KCM","W","regular",""
"KCM194705160","davip102","BIR","","","value","","1","1","","","1","1","","","","","","","","","","","","","","19470516","0","HUN01","KCM","W","regular",""
"KCM194705160","davip102","BIR","","","lower","1","1","1","","","1","1","","","","","","","","","","","","","","19470516","0","HUN01","KCM","W","regular",""
"KCM194705160","davip102","BIR","","","upper","1","","-1","","","1","1","","","","","","","","","","","","","","19470516","0","HUN01","KCM","W","regular",""
"BIR194705260","davip102","BIR","","","value","","","1","","","","","","","","","","","","","","","","","","19470526","0","NOL01","IN9","W","regular",""
"BIR194705260","davip102","BIR","","","lower","1","","1","","","","","","","","","","","","","","","","","","19470526","0","NOL01","IN9","W","regular",""
"BIR194705260","davip102","BIR","","","upper","1","","","","","","","","","","","","","","","","","","","","19470526","0","NOL01","IN9","W","regular",""
"BIR194706011","davip102","BIR","","","value","","1","1","","","","","","","","","","","","","","","","","","19470601","1","BIR01","CAG","W","regular",""
"BIR194706011","davip102","BIR","","","lower","1","1","1","","","","","","","","","","","","","","","","","","19470601","1","BIR01","CAG","W","regular",""
"BIR194706011","davip102","BIR","","","upper","1","1","-3","","","","","","","","","","","","","","","","","","19470601","1","BIR01","CAG","W","regular",""
"BIR194706012","davip102","BIR","","","value","","1","","","","","","","","","1","","","","","","","","","","19470601","2","BIR01","CAG","W","regular",""
"BIR194706012","davip102","BIR","","","lower","","1","","","","","","","","","1","","","","","","","","","","19470601","2","BIR01","CAG","W","regular",""
"BIR194706012","davip102","BIR","","","upper","","1","","","","","","","","","1","","","","","","","","","","19470601","2","BIR01","CAG","W","regular",""
"BIR194706020","davip102","BIR","","","value","","","1","","","","","","","","","","","","","","","","","","19470602","0","MTG01","CAG","W","regular",""
"BIR194706020","davip102","BIR","","","lower","1","","1","","","","","","","","","","","","","","","","","","19470602","0","MTG01","CAG","W","regular",""
"BIR194706020","davip102","BIR","","","upper","1","","","","","","","","","","","","","","","","","","","","19470602","0","MTG01","CAG","W","regular",""
"CVB194706081","davip102","BIR","4","1","value","4","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","19470608","1","CLE06","CVB","L","regular","y"
"CVB194706081","davip102","BIR","4","1","lower","4","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19470608","1","CLE06","CVB","L","regular","y"
"CVB194706081","davip102","BIR","4","1","upper","4","1","1","1","0","0","0","0","","0","","","","0","","","0","","","","19470608","1","CLE06","CVB","L","regular","y"
"MEM194706170","davip102","BIR","","","value","","1","1","","","1","1","","","","","","","","","","","","","","19470617","0","MEM02","MEM","L","regular",""
"MEM194706170","davip102","BIR","","","lower","1","1","1","","","1","1","","","","","","","","","","","","","","19470617","0","MEM02","MEM","L","regular",""
"MEM194706170","davip102","BIR","","","upper","1","","","","","1","0","","","","","","","","","","","","","","19470617","0","MEM02","MEM","L","regular",""
"CAG194706210","davip102","BIR","","","value","5","1","4","","","1","3","","","","","","","","","","","","","","19470621","0","IND10","CAG","W","regular",""
"CAG194706210","davip102","BIR","","","lower","5","1","4","","","1","3","","","","","","","","","","","","","","19470621","0","IND10","CAG","W","regular",""
"CAG194706210","davip102","BIR","","","upper","5","","4","","","1","0","","","","","","","","","","","","","","19470621","0","IND10","CAG","W","regular",""
"CAG194706221","davip102","BIR","4","1","value","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19470622","1","CHI10","CAG","W","regular","y"
"CAG194706221","davip102","BIR","4","1","lower","4","1","2","0","0","0","","0","","0","","","","0","","","0","","","","19470622","1","CHI10","CAG","W","regular","y"
"CAG194706221","davip102","BIR","4","1","upper","5","1","2","0","0","0","","0","","0","","","","0","","","0","","","","19470622","1","CHI10","CAG","W","regular","y"
"CAG194706222","davip102","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470622","2","CHI10","CAG","L","regular",""
"CAG194706222","davip102","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470622","2","CHI10","CAG","L","regular",""
"CAG194706222","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470622","2","CHI10","CAG","L","regular",""
"CVB194707030","davip102","BIR","","","value","","1","","","","","","","","","","","","1","","","","","","","19470703","0","DAY03","CVB","W","regular",""
"CVB194707030","davip102","BIR","","","lower","","1","","","","","","","","","","","","1","","","","","","","19470703","0","DAY03","CVB","W","regular",""
"CVB194707030","davip102","BIR","","","upper","","","","","","","","","","","","","","1","","","","","","","19470703","0","DAY03","CVB","W","regular",""
"CVB194707041","davip102","BIR","","","value","","1","","","","","","","","","","","","","","","","","","","19470704","1","CLE06","CVB","W","regular",""
"CVB194707041","davip102","BIR","","","lower","","1","","","","","","","","","","","","","","","","","","","19470704","1","CLE06","CVB","W","regular",""
"CVB194707041","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470704","1","CLE06","CVB","W","regular",""
"KCM194707100","davip102","BIR","4","1","value","6","2","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19470710","0","KAN05","KCM","L","regular","y"
"KCM194707100","davip102","BIR","4","1","lower","6","2","0","0","0","0","","0","","0","","","","0","","","0","","","","19470710","0","KAN05","KCM","L","regular","y"
"KCM194707100","davip102","BIR","4","1","upper","6","2","0","0","0","0","","0","","0","","","","0","","","0","","","","19470710","0","KAN05","KCM","L","regular","y"
"KCM194707131","davip102","BIR","4","1","value","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470713","1","KAN05","KCM","L","regular","y"
"KCM194707131","davip102","BIR","4","1","lower","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19470713","1","KAN05","KCM","L","regular","y"
"KCM194707131","davip102","BIR","4","1","upper","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19470713","1","KAN05","KCM","L","regular","y"
"KCM194707132","davip102","BIR","4","1","value","4","1","2","1","0","0","","0","","0","0","0","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","davip102","BIR","4","1","lower","4","1","2","1","0","0","","0","","0","","","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","davip102","BIR","4","1","upper","4","1","2","1","0","0","","0","","0","","","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707140","davip102","BIR","4","1","value","5","2","2","0","0","1","4","0","","0","0","0","","0","","","0","","","","19470714","0","KAN05","KCM","L","regular","y"
"KCM194707140","davip102","BIR","4","1","lower","5","2","2","0","0","1","4","0","","0","","","","0","","","0","","","","19470714","0","KAN05","KCM","L","regular","y"
"KCM194707140","davip102","BIR","4","1","upper","5","2","2","0","0","1","4","0","","0","","","","0","","","0","","","","19470714","0","KAN05","KCM","L","regular","y"
"NW2194707180","davip102","BIR","4","1","value","5","1","3","1","","","1","","","","0","0","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"NW2194707180","davip102","BIR","4","1","lower","5","1","3","1","","","1","","","","","","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"NW2194707180","davip102","BIR","4","1","upper","5","1","3","1","","","1","","","","","","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"PH5194707202","davip102","BIR","4","1","value","3","0","1","0","0","0","0","0","","0","1","","","1","","","0","","","","19470720","2","NYC16","PH5","L","exhibition","y"
"PH5194707202","davip102","BIR","4","1","lower","3","0","1","0","0","0","0","0","","0","","","","1","","","0","","","","19470720","2","NYC16","PH5","L","exhibition","y"
"PH5194707202","davip102","BIR","4","1","upper","3","0","1","0","0","0","0","0","","0","","","","1","","","0","","","","19470720","2","NYC16","PH5","L","exhibition","y"
"PH5194707212","davip102","BIR","4","1","value","3","2","1","1","0","0","0","0","","0","1","","","0","","","0","","","","19470721","2","PHI11","PH5","L","exhibition","y"
"PH5194707212","davip102","BIR","4","1","lower","3","2","1","1","0","0","0","0","","0","1","","","0","","","0","","","","19470721","2","PHI11","PH5","L","exhibition","y"
"PH5194707212","davip102","BIR","4","1","upper","3","2","1","1","0","0","0","0","","0","1","","","0","","","0","","","","19470721","2","PHI11","PH5","L","exhibition","y"
"BLG194707220","davip102","BIR","4","1","value","4","1","1","0","1","0","2","0","","0","0","0","","0","","","0","","","","19470722","0","BAL14","BLG","L","exhibition","y"
"BLG194707220","davip102","BIR","4","1","lower","4","1","1","0","1","0","2","0","","0","","","","0","","","0","","","","19470722","0","BAL14","BLG","L","exhibition","y"
"BLG194707220","davip102","BIR","4","1","upper","4","1","1","0","1","0","2","0","","0","","","","0","","","0","","","","19470722","0","BAL14","BLG","L","exhibition","y"
"ASW194707270","davip102","ASW","4","1","value","3","1","2","1","0","0","1","0","0","0","1","0","0","1","0","0","0","","","","19470727","0","CHI10","ASE","W","allstar","y"
"ASW194707270","davip102","ASW","4","1","lower","3","1","2","1","0","0","1","0","","0","","","","1","","","0","","","","19470727","0","CHI10","ASE","W","allstar","y"
"ASW194707270","davip102","ASW","4","1","upper","3","1","2","1","0","0","1","0","","0","","","","1","","","0","","","","19470727","0","CHI10","ASE","W","allstar","y"
"ASE194707290","davip102","ASW","4","1","value","5","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","19470729","0","NYC14","ASE","W","allstar","y"
"ASE194707290","davip102","ASW","4","1","lower","5","1","1","0","0","0","2","0","","0","","","","0","","","0","","","","19470729","0","NYC14","ASE","W","allstar","y"
"ASE194707290","davip102","ASW","4","1","upper","5","1","1","0","0","0","2","0","","0","","","","0","","","0","","","","19470729","0","NYC14","ASE","W","allstar","y"
"NW2194707300","davip102","BIR","4","1","value","5","0","2","0","0","0","1","0","","0","0","0","","0","","","0","","","","19470730","0","WIL04","NW2","L","exhibition","y"
"NW2194707300","davip102","BIR","4","1","lower","5","0","2","0","0","0","1","0","","0","","","","0","","","0","","","","19470730","0","WIL04","NW2","L","exhibition","y"
"NW2194707300","davip102","BIR","4","1","upper","5","0","2","0","0","0","1","0","","0","","","","0","","","0","","","","19470730","0","WIL04","NW2","L","exhibition","y"
"CVB194708010","davip102","BIR","","","value","","","2","","","","2","","","","","","","","","","","","","","19470801","0","DAY03","CVB","W","regular",""
"CVB194708010","davip102","BIR","","","lower","2","","2","","","","2","","","","","","","","","","","","","","19470801","0","DAY03","CVB","W","regular",""
"CVB194708010","davip102","BIR","","","upper","2","","2","","","","2","","","","","","","","","","","","","","19470801","0","DAY03","CVB","W","regular",""
"BIR194708031","davip102","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"BIR194708031","davip102","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"BIR194708031","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"BIR194708032","davip102","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470803","2","BIR01","IN9","W","regular",""
"BIR194708032","davip102","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470803","2","BIR01","IN9","W","regular",""
"BIR194708032","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470803","2","BIR01","IN9","W","regular",""
"KCM194708041","davip102","BIR","4","1","value","3","0","1","","","","1","","","","2","","","","","","","","","","19470804","1","STL07","KCM","L","regular","y"
"KCM194708041","davip102","BIR","4","1","lower","3","0","1","","","","1","","","","","","","","","","","","","","19470804","1","STL07","KCM","L","regular","y"
"KCM194708041","davip102","BIR","4","1","upper","3","0","1","","","","1","","","","","","","","","","","","","","19470804","1","STL07","KCM","L","regular","y"
"BIR194708070","davip102","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470807","0","KNO01","IN9","W","regular",""
"BIR194708070","davip102","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470807","0","KNO01","IN9","W","regular",""
"BIR194708070","davip102","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470807","0","KNO01","IN9","W","regular",""
"BLG194708120","davip102","BIR","4","1","value","5","3","3","0","2","0","0","0","","0","0","0","","0","","","0","","","","19470812","0","BAL14","BLG","W","exhibition","y"
"BLG194708120","davip102","BIR","4","1","lower","5","3","3","0","2","0","0","0","","0","","","","0","","","0","","","","19470812","0","BAL14","BLG","W","exhibition","y"
"BLG194708120","davip102","BIR","4","1","upper","5","3","3","0","2","0","0","0","","0","","","","0","","","0","","","","19470812","0","BAL14","BLG","W","exhibition","y"
"BIR194708190","davip102","BIR","","","value","","","1","","","","","","","","","","","","","","","","","","19470819","0","MTG01","MEM","W","regular",""
"BIR194708190","davip102","BIR","","","lower","1","","1","","","","","","","","","","","","","","","","","","19470819","0","MTG01","MEM","W","regular",""
"BIR194708190","davip102","BIR","","","upper","1","","","","","","","","","","","","","","","","","","","","19470819","0","MTG01","MEM","W","regular",""
"BIR194708270","davip102","BIR","","","value","","","3","","","","","","","","","","","","","","","","","","19470827","0","MTG01","CVB","L","regular",""
"BIR194708270","davip102","BIR","","","lower","3","","3","","","","","","","","","","","","","","","","","","19470827","0","MTG01","CVB","L","regular",""
"BIR194708270","davip102","BIR","","","upper","3","","3","","","","","","","","","","","","","","","","","","19470827","0","MTG01","CVB","L","regular",""
"BIR194709030","davip102","BIR","","","value","","","1","","","","","","","","","","","","","","","","","","19470903","0","MTG01","MEM","W","regular",""
"BIR194709030","davip102","BIR","","","lower","1","","1","","","","","","","","","","","","","","","","","","19470903","0","MTG01","MEM","W","regular",""
"BIR194709030","davip102","BIR","","","upper","1","","","","","","","","","","","","","","","","","","","","19470903","0","MTG01","MEM","W","regular",""
"CAG194709141","davip102","BIR","","","value","","","1","","","1","","","","","","","","","","","","","","","19470914","1","CHI10","CAG","L","regular",""
"CAG194709141","davip102","BIR","","","lower","","","1","","","1","","","","","","","","","","","","","","","19470914","1","CHI10","CAG","L","regular",""
"CAG194709141","davip102","BIR","","","upper","","","","","","1","","","","","","","","","","","","","","","19470914","1","CHI10","CAG","L","regular",""
"CAG194709142","davip102","BIR","","","value","","1","1","","","1","3","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"CAG194709142","davip102","BIR","","","lower","1","1","1","","","1","3","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"CAG194709142","davip102","BIR","","","upper","1","","","","","1","-3","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"MLS194710120","davip102","KCR","4","1","value","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19471012","0","SAN03","MLS","L","exhibition","y"
"MLS194710120","davip102","KCR","4","1","lower","5","0","2","0","0","0","","0","","0","","","","0","","","0","","","","19471012","0","SAN03","MLS","L","exhibition","y"
"MLS194710120","davip102","KCR","4","1","upper","5","0","2","0","0","0","","0","","0","","","","0","","","0","","","","19471012","0","SAN03","MLS","L","exhibition","y"
"ASF194710140","davip102","KCR","4","1","value","5","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19471014","0","SAN03","ASF","L","exhibition","y"
"ASF194710140","davip102","KCR","4","1","lower","5","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19471014","0","SAN03","ASF","L","exhibition","y"
"ASF194710140","davip102","KCR","4","1","upper","5","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19471014","0","SAN03","ASF","L","exhibition","y"
"KCR194710150","davip102","KCR","4","1","value","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","","","","19471015","0","LOS02","ASF","L","exhibition","y"
