"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PH5194108160","PH5","0","1","0","1","1","0","1","1","","","","","","","","","","","","","","","","","","","","","4","value","33","5","6","1","1","0","1","0","","0","","","","1","","","0","27","","35","8","0","3","0","3","","","","","0","0","0","0","","27","15","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hubej101","owens102","duckm101","walke103","walke103","coopb101","westj102","jordl101","campd103","duckm101","hubej101","owens102","parnr102","","19410816","0","PHI17","NY5","W","regular","y","1941"
"PH5194108160","PH5","0","1","0","1","1","0","1","1","","","","","","","","","","","","","","","","","","","","","4","lower","","5","6","1","1","0","1","0","","0","","","","1","","","0","27","","","8","0","3","0","3","","","","","0","0","0","0","","27","15","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hubej101","owens102","duckm101","walke103","walke103","coopb101","westj102","jordl101","campd103","duckm101","hubej101","owens102","parnr102","","19410816","0","PHI17","NY5","W","regular","y","1941"
"PH5194108160","PH5","0","1","0","1","1","0","1","1","","","","","","","","","","","","","","","","","","","","","4","upper","","5","6","1","1","0","1","0","","0","","","","1","","","0","27","","","8","0","3","0","3","","","","","0","0","0","0","","27","15","1","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hubej101","owens102","duckm101","walke103","walke103","coopb101","westj102","jordl101","campd103","duckm101","hubej101","owens102","parnr102","","19410816","0","PHI17","NY5","W","regular","y","1941"
"PH5194108171","PH5","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","6","value","31","1","4","","","","","","","","","","","","","","","27","","29","2","","","","0","0","","","","","","","","","27","13","0","","0","","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410817","1","BAL14","NY5","W","regular","y","1941"
"PH5194108171","PH5","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","6","lower","","1","4","","","","","","","","","","","","","","","27","","","2","","","","0","0","","","","","","","","","27","13","0","","0","","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410817","1","BAL14","NY5","W","regular","y","1941"
"PH5194108171","PH5","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","6","upper","","1","4","","","","","","","","","","","","","","","27","","","2","","","","0","0","","","","","","","","","27","13","0","","0","","campd103","jordl101","coopb101","parnr102","westj102","owens102","duckm101","mcheh101","shelh102","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","shelh102","owens102","parnr102","","19410817","1","BAL14","NY5","W","regular","y","1941"
"PH5194108172","PH5","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","","value","","2","4","","","","","","","","","","","","","","","21","","","7","","","","3","","","","","","","","","","21","","0","","0","","","","","","","","","","","buchc101","","","","","","","","","","19410817","2","BAL14","NY5","L","regular","","1941"
"PH5194108172","PH5","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","","lower","","2","4","","","","","","","","","","","","","","","21","","","7","","","","3","","","","","","","","","","21","","0","","0","","","","","","","","","","","buchc101","","","","","","","","","","19410817","2","BAL14","NY5","L","regular","","1941"
"PH5194108172","PH5","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","","upper","","2","4","","","","","","","","","","","","","","","21","","","7","","","","3","","","","","","","","","","21","","0","","0","","","","","","","","","","","buchc101","","","","","","","","","","19410817","2","BAL14","NY5","L","regular","","1941"
"NY6194108242","PH5","0","0","0","1","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","3","value","30","3","6","1","0","0","3","2","","0","1","","","3","","","0","26","","36","7","1","1","0","4","1","3","","1","0","2","0","1","","26","16","3","0","0","2","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410824","2","NYC16","NY6","L","regular","y","1941"
