"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BLG194808100","NY6","0","0","1","2","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","5","lower","34","4","6","0","0","1","","0","","0","","","","2","","","","24","","34","12","","","0","9","","7","","1","0","2","0","2","","24","9","1","2","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","barnd101","barnd101","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480810","0","BAL14","BLG","L","regular","y","1948"
"BLG194808100","NY6","0","0","1","2","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","5","upper","35","4","6","0","0","1","","0","","0","","","","2","","","","24","","43","12","","","0","9","","7","","1","0","2","0","2","","24","9","1","2","0","2","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","barnd101","barnd101","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480810","0","BAL14","BLG","L","regular","y","1948"
"HOM194808120","NY6","0","0","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","7","value","35","2","10","0","0","0","","0","","0","7","","","1","","","","32","","48","7","","","0","3","","9","","2","0","0","0","0","","32","19","2","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","loper102","loper102","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480812","0","WAS09","HOM","L","regular","y","1948"
"HOM194808120","NY6","0","0","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","7","lower","35","2","10","0","0","0","","0","","0","","","","1","","","","32","","48","7","","","0","3","","9","","2","0","0","0","0","","32","19","2","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","loper102","loper102","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480812","0","WAS09","HOM","L","regular","y","1948"
"HOM194808120","NY6","0","0","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","7","upper","36","2","10","0","0","0","","1","","0","","","","1","","","","32","","48","7","","","0","3","","9","","2","0","0","0","0","","32","19","2","1","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","scanp104","ballp102","loper102","loper102","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","scanp104","","19480812","0","WAS09","HOM","L","regular","y","1948"
"BIR194808140","NY6","1","1","2","0","2","0","0","1","0","","","","","","","","","","","","","","","","","","","","7","value","37","7","12","1","2","3","","0","","0","4","","","0","","","","27","","38","12","","","0","3","","2","","5","0","0","0","0","","27","9","0","3","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480814","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808140","NY6","1","1","2","0","2","0","0","1","0","","","","","","","","","","","","","","","","","","","","7","lower","37","7","12","1","2","3","","","","","","","","","","","","27","","36","12","","","","3","","","","","","0","","","","27","9","0","3","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480814","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808140","NY6","1","1","2","0","2","0","0","1","0","","","","","","","","","","","","","","","","","","","","7","upper","37","7","12","1","2","3","","","","","","","","","","","","27","","38","12","","","","3","","","","","","1","","","","27","9","0","3","0","1","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480814","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808150","NY6","1","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","value","33","2","7","0","0","0","","0","","0","5","","","0","","","","24","","42","13","","","1","8","","3","","6","1","0","0","1","","24","7","1","0","0","1","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480815","0","BIR01","BIR","L","exhibition","y","1948"
"BIR194808150","NY6","1","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","lower","33","2","7","","","","","","","","1","","","","","","","24","","39","13","","","1","8","","3","","6","1","","","1","","24","7","1","","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480815","0","BIR01","BIR","L","exhibition","y","1948"
"BIR194808150","NY6","1","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","9","upper","33","2","7","","","","","","","","5","","","","","","","24","","42","13","","","1","8","","3","","6","1","","","1","","24","8","1","","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","santj103","santj103","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480815","0","BIR01","BIR","L","exhibition","y","1948"
"BIR194808180","NY6","3","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","value","","4","8","","","","","","","","","","","","","","","27","","","5","","","","2","","","","","","","","","","27","","1","","0","","","","","","","","","","","barnd101","noblr101","","","","","","","","","19480818","0","CHT01","BIR","W","exhibition","","1948"
"BIR194808180","NY6","3","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","lower","","4","8","","","","","","","","","","","","","","","27","","","5","","","","2","","","","","","","","","","27","","1","","0","","","","","","","","","","","barnd101","noblr101","","","","","","","","","19480818","0","CHT01","BIR","W","exhibition","","1948"
"BIR194808180","NY6","3","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","upper","","4","8","","","","","","","","","","","","","","","27","","","5","","","","2","","","","","","","","","","27","","1","","0","","","","","","","","","","","barnd101","noblr101","","","","","","","","","19480818","0","CHT01","BIR","W","exhibition","","1948"
"BIR194808190","NY6","0","0","0","0","2","0","1","0","4","","","","","","","","","","","","","","","","","","","","10","value","39","7","12","2","0","0","","1","","0","4","","","2","","","","27","","36","9","","","0","3","","0","","7","0","0","0","0","","27","7","1","0","0","0","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480819","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808190","NY6","0","0","0","0","2","0","1","0","4","","","","","","","","","","","","","","","","","","","","10","lower","39","7","12","2","","","","1","","","","","","2","","","","27","","36","9","","","","3","","0","","7","","","","","","27","7","1","","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480819","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808190","NY6","0","0","0","0","2","0","1","0","4","","","","","","","","","","","","","","","","","","","","10","upper","39","7","12","2","","","","1","","","","","","2","","","","27","","36","9","","","","3","","0","","7","","","","","","27","7","1","","0","","minom101","clarc103","sampt101","bostl102","noblr101","loudl101","waldg101","ballp102","scanp104","scanp104","noblr101","bostl102","sampt101","minom101","ballp102","loudl101","clarc103","waldg101","","19480819","0","BIR01","BIR","W","exhibition","y","1948"
"BIR194808221","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","9","","","","","","","","","","","","","","","","27","","","6","","","","0","0","","","16","","","","","","27","","0","","0","","","","","","","","","","","santj103","","","","","","","","","","19480822","1","NOL01","BIR","W","exhibition","","1948"
