"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BIR194307010","KCM","2","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","","value","36","36","2","10","2","0","1","2","0","","0","0","0","4","1","","","0","","24","","36","12","0","0","0","5","","1","0","5","0","0","0","0","0","1","","0","24","8","2","0","0","0","0","1","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","barnh102","walkg103","walkg103","barnh102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430701","0","CIN07","BIR","l","regular","y","1943"
"KCM194307020","KCM","0","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","1","2","","","","","","","","2","","1","","","","","","27","","","6","1","","","2","1","","","","","","","","","","","","27","","4","","0","","","","","","","","","","","","","","smith111","barnh102","","","","","","","","","19430702","0","BEL01","MEM","l","regular","","1943"
"KCM194307041","KCM","0","0","2","3","5","0","0","1","","","","","","","","","","","","","","","","","","","","","3","","value","38","36","11","14","1","0","2","10","1","0","0","1","0","3","0","","","0","","27","","36","8","0","1","0","5","5","4","0","3","0","0","0","1","0","1","","1","27","13","0","1","0","1","0","1","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","barnh102","matcj101","matcj101","barnh102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430704","1","KAN05","MEM","w","regular","y","1943"
"KCM194307042","KCM","0","1","1","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","1","","value","26","23","4","3","0","1","0","2","0","0","0","3","0","2","1","","","0","","21","","31","8","1","1","0","7","","1","","4","0","0","0","0","1","0","","0","21","10","2","1","0","0","0","0","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","duncf102","paigs101","paigs101","duncf102","oneib801","simmw101","soueh101","willj111","serrb101","broww101","thomh103","","19430704","2","KAN05","MEM","l","regular","y","1943"
"KCM194307051","KCM","0","2","1","0","0","2","1","0","","","","","","","","","","","","","","","","","","","","","8","","value","38","37","6","12","2","0","0","3","0","","0","1","","","0","","","0","","27","","36","7","0","0","0","3","","6","0","","0","0","0","2","0","0","","0","27","15","2","2","0","0","0","0","","willj111","allen102","soueh101","broww101","serrb101","oneib801","thomh103","barnh102","philn101","philn101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430705","1","KAN05","MEM","w","regular","y","1943"
"KCM194307052","KCM","2","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","","3","","value","25","24","4","5","1","1","0","3","0","","0","1","","","0","","","0","","21","","23","1","0","0","0","0","0","2","","","0","0","0","0","","0","","0","21","10","0","1","0","0","0","0","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","hayns101","walkg103","walkg103","hayns101","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430705","2","KAN05","MEM","w","regular","y","1943"
"KCM194307080","KCM","0","3","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","5","7","","","","","","","","","","","","","","","","27","","","5","","","","0","0","","","","","","","","","","","","27","","1","","0","","","","","","","","","","","","","","alext101","barnh102","","","","","","","","","19430708","0","DAL01","BIR","w","regular","","1943"
"KCM194307090","KCM","1","1","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","8","","value","36","30","4","7","0","1","0","2","0","0","1","5","0","7","2","","","0","","27","","40","8","0","0","0","3","2","4","","5","0","0","0","3","","0","","0","27","14","2","0","0","0","0","0","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","barnh102","matcj101","matcj101","barnh102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430709","0","OKC02","BIR","w","regular","y","1943"
"KCM194307111","KCM","0","1","0","0","2","2","0","1","","","","","","","","","","","","","","","","","","","","","7","","value","37","33","6","12","2","0","2","6","1","0","0","3","0","1","1","","","0","","27","","34","7","0","0","0","2","","0","0","6","0","0","0","2","","0","","0","27","10","2","0","0","0","0","0","","willj111","allen102","soueh101","broww101","serrb101","oneib801","barnh102","smith111","thomh103","smith111","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430711","1","KAN05","BIR","w","regular","y","1943"
"KCM194307112","KCM","0","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","5","","value","29","28","3","7","0","0","0","3","1","","0","0","0","1","0","","","0","","21","","29","5","0","0","0","5","","3","0","3","0","0","0","1","0","0","","1","21","10","3","0","0","1","0","0","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","hayns101","paigs101","paigs101","hayns101","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430711","2","KAN05","BIR","l","regular","y","1943"
"KCM194307120","KCM","0","1","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","8","","value","35","32","3","8","0","1","0","2","0","","0","3","","","0","","","0","","27","","36","6","0","0","0","2","","4","0","","0","0","0","1","0","0","","0","27","10","1","0","0","0","0","0","","willj111","simmw101","soueh101","broww101","serrb101","oneib801","thomh103","duncf102","alext101","alext101","duncf102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430712","0","KAN05","BIR","w","regular","y","1943"
"KCM194307130","KCM","0","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","7","","value","36","34","2","8","1","1","0","2","0","","1","1","","9","0","","","0","","27","","45","16","0","0","2","12","8","1","0","11","0","0","0","1","0","0","","0","27","17","6","0","0","0","0","0","","willj111","allen102","soueh101","broww101","serrb101","oneib801","simmw101","hayns101","paigs101","paigs101","hayns101","oneib801","serrb101","soueh101","willj111","simmw101","broww101","allen102","","19430713","0","STJ01","BIR","l","regular","y","1943"
"KCM194307150","KCM","0","1","0","0","4","1","0","0","","","","","","","","","","","","","","","","","","","","","10","","value","40","34","6","11","2","1","0","5","0","0","0","6","0","5","2","","","0","","27","","39","3","0","2","0","4","","7","","10","0","0","0","1","","0","","0","27","9","2","0","0","0","0","0","","willj111","allen102","soueh101","broww101","serrb101","oneib801","thomh103","barnh102","mcdab101","mcdab101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430715","0","KAN05","BIR","w","regular","y","1943"
"KCM194307181","KCM","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","5","","value","33","32","1","8","2","1","0","1","0","","0","1","","","0","","","0","","27","","36","9","1","1","0","3","","1","","","0","0","0","0","","0","","0","27","11","2","0","0","0","0","0","","willj111","thomh103","soueh101","broww101","serrb101","oneib801","barnh102","simmw101","walkg103","walkg103","barnh102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430718","1","KAN05","CAG","l","regular","y","1943"
"KCM194307182","KCM","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","4","","value","26","24","1","5","0","0","0","1","0","","0","2","","","0","","","0","","21","","25","2","1","0","0","2","","1","","","0","0","0","0","","0","","0","21","8","0","1","0","0","0","0","","willj111","thomh103","serrb101","broww101","oneib801","soueh101","simmw101","hayns101","smith111","smith111","hayns101","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430718","2","KAN05","CAG","l","regular","y","1943"
"KCM194307190","KCM","0","0","0","1","0","0","2","0","2","","","","","","","","","","","","","","","","","","","","4","","value","36","30","5","8","2","0","0","","1","","1","4","","","0","","","0","","27","","40","11","0","0","0","7","","4","0","","0","0","0","3","0","0","","0","27","15","3","0","0","0","0","0","","simmw101","soueh101","oneib801","broww101","serrb101","willj111","thomh103","barnh102","philn101","philn101","barnh102","oneib801","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430719","0","KAN05","CAG","l","regular","y","1943"
"KCM194307200","KCM","2","0","2","3","0","0","1","2","","","","","","","","","","","","","","","","","","","","","6","","value","40","37","10","12","3","0","0","8","0","0","0","3","0","3","1","","","0","","27","","42","11","3","0","0","4","","4","","10","0","0","0","0","","0","","0","27","2","0","0","0","0","0","0","","allen102","soueh101","oneib801","broww101","serrb101","willj111","thomh103","barnh102","mcdab101","mcdab101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430720","0","OKC02","CAG","w","regular","y","1943"
"KCM194307210","KCM","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","18","1","","","1","","","","","","","","","","","","","27","","","","","","","2","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","philn101","barnh102","","","","","","","","","19430721","0","DAL01","CAG","w","regular","","1943"
