"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"CI2194309080","BIR","CI2","CIN07","19430908","0","","night","","","","","","","","","","","","","","","wardh901","reedp901","","","","","hubej101","davip103","","regular","4","3","BIR","CI2","y","both","y","y","1943"
"CI2194309090","BIR","CI2","TOL05","19430909","0","","night","","","","","","","","","","","","","","","","","","","","","markj101","henrp101","","exhibition","5","2","BIR","CI2","","p","","","1943"
"CAG194309130","BIR","CAG","TOL05","19430913","0","","","","","","","","","","","","","","","","","","","","","","","jessg101","mckig101","","championship","2","3","CAG","BIR","","p","","","1943"
"CAG194309140","BIR","CAG","COL05","19430914","0","","","","","","","","","","","","","","","","","","","","","","","markj101","","","championship","16","5","BIR","CAG","","","","","1943"
"CAG194309150","BIR","CAG","DAY03","19430915","0","","night","","","","","","","","","","","","","","","","","","","","","cornw101","gipsa101","","championship","4","5","CAG","BIR","y","both","","","1943"
"BIR194309170","CAG","BIR","MTG01","19430917","0","0:00PM","night","","","false","","102","0","unknown","unknown","unknown","0","unknown","-1","","","cunnu901","","","","","","sayla101","jessg101","","championship","1","4","BIR","CAG","y","both","y","y","1943"
"BIR194309190","CAG","BIR","BIR01","19430919","0","0:00PM","day","","","false","","89","0","unknown","unknown","unknown","0","unknown","-1","","","moorw901","willp103","","","","","hubej101","jessg101","","championship","0","1","BIR","CAG","y","both","y","y","1943"
"HOM194309210","BIR","HOM","WAS09","19430921","0","0:00PM","night","","","false","","0","4000","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","greee901","","kempe101","","","sayla101","wrigj105","","championship","4","2","BIR","HOM","y","both","y","y","1943"
"HOM194309230","BIR","HOM","BAL14","19430923","0","0:00PM","night","","","false","","206","4000","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","hollc103","","","","","","","","championship","5","5","","","y","both","y","y","1943"
"HOM194309240","BIR","HOM","WAS09","19430924","0","0:00PM","night","","","false","","0","7000","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","greee901","","kempe101","","","browr103","markj101","","championship","3","4","HOM","BIR","y","both","y","y","1943"
"BIR194309260","HOM","BIR","CHI10","19430926","0","0:00PM","day","","","false","","0","4940","unknown","unknown","unknown","0","unknown","-1","","","bluev901","mccrf901","yount901","margu901","","","wrigj105","mckig101","","championship","9","0","HOM","BIR","y","both","y","y","1943"
"BIR194309280","HOM","BIR","COL05","19430928","0","","","","","","","","","","","","","","","","","","","","","","","gipsa101","walke103","sayla101","championship","10","11","BIR","HOM","y","both","","","1943"
"BIR194309290","HOM","BIR","IND10","19430929","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","wrigj105","mckig101","","championship","8","0","HOM","BIR","y","both","y","y","1943"
"BIR194310030","HOM","BIR","BIR01","19431003","0","0:00PM","night","","","false","","145","10000","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","moorw901","","willp103","","","markj101","partr102","","championship","0","1","BIR","HOM","y","both","y","y","1943"
"BIR194310050","HOM","BIR","MTG01","19431005","0","0:00PM","night","","","false","","140","4000","unknown","unknown","unknown","0","unknown","-1","","","willp103","mccrf901","","moorw901","","","browr103","sayla101","","championship","8","4","HOM","BIR","y","both","y","y","1943"
"BIR194310070","HOM","BIR","BIR01","19431007","0","0:00PM","night","","","false","","120","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","moorw901","","willp103","","","jessg101","partr102","","exhibition","2","6","BIR","HOM","y","both","y","y","1943"
"BIR194310100","HOM","BIR","BIR01","19431010","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","willp103","mccrf901","","moorw901","","","carts102","hubej101","","exhibition","9","4","HOM","BIR","y","both","y","y","1943"
"MEM194310170","BIR","MEM","MEM03","19431017","0","","day","","","","","","2500","","","","","","","","","","","","","","","mossp101","hubej101","","exhibition","4","6","MEM","BIR","y","both","","","1943"
