"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"KCM194207261","MEM","2","0","0","2","3","0","1","2","0","","","","","","","","","","","","","","","","","","","","4","value","38","10","16","1","0","1","","1","","0","2","","","0","","","0","27","","41","11","2","1","0","4","","2","","5","0","0","0","2","","27","13","2","0","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","1","CHI11","KCM","W","regular","y","1942"
"KCM194207261","MEM","2","0","0","2","3","0","1","2","0","","","","","","","","","","","","","","","","","","","","4","lower","38","10","16","1","0","1","","0","","0","","","","0","","","0","27","","38","11","2","1","0","4","","2","","5","0","0","0","0","","27","13","2","0","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","1","CHI11","KCM","W","regular","y","1942"
"KCM194207261","MEM","2","0","0","2","3","0","1","2","0","","","","","","","","","","","","","","","","","","","","4","upper","38","10","16","1","0","1","","1","","0","","","","0","","","0","27","","41","11","2","1","0","4","","2","","5","0","0","0","2","","27","13","2","0","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mossp101","mossp101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","1","CHI11","KCM","W","regular","y","1942"
"KCM194207262","MEM","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","3","value","25","2","4","0","0","0","1","0","","0","1","","5","0","2","","0","18","","28","8","0","0","0","4","4","3","","4","0","0","0","2","2","18","8","0","1","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","2","CHI11","KCM","L","regular","y","1942"
"KCM194207262","MEM","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","3","lower","25","2","4","0","0","0","1","0","","0","1","","5","0","2","","0","18","","25","8","0","0","0","4","4","3","","4","0","0","0","2","2","18","8","0","1","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","2","CHI11","KCM","L","regular","y","1942"
"KCM194207262","MEM","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","","3","upper","27","2","4","0","0","0","1","0","","0","1","","5","0","2","","0","18","","28","8","0","0","0","4","4","3","","4","0","0","0","2","2","18","8","0","1","0","0","mcdaf101","bankf101","hydec101","cartm101","taylj106","robin101","browt105","browl107","mathv101","mathv101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420726","2","CHI11","KCM","L","regular","y","1942"
"CI2194208021","MEM","0","3","0","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","5","12","","","","","","","","","","","","","","","27","","","6","","","","1","1","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","browl107","","","","","","","","","19420802","1","CIN07","CI2","W","exhibition","","1942"
"CI2194208021","MEM","0","3","0","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","5","12","","","","","","","","","","","","","","","27","","","6","","","","1","1","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","browl107","","","","","","","","","19420802","1","CIN07","CI2","W","exhibition","","1942"
"CI2194208021","MEM","0","3","0","0","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","5","12","","","","","","","","","","","","","","","27","","","6","","","","1","1","","","","","","","","","27","","0","","0","","","","","","","","","","","mossp101","browl107","","","","","","","","","19420802","1","CIN07","CI2","W","exhibition","","1942"
"CI2194208022","MEM","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","6","value","36","1","6","0","0","0","1","2","","0","2","","","2","","","0","32","","43","6","1","0","0","2","","3","","6","0","0","0","3","1","32","","2","0","0","0","mcdaf101","bankf101","hutcw101","cartm101","taylj106","robin101","browt105","hydec101","mathv101","mathv101","hydec101","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hutcw101","","19420802","2","CIN07","CI2","L","exhibition","y","1942"
