"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"PTC193805222","BLG","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","value","","","2","7","","","","","","","","","","","","","","","","21","","","7","","","","6","","","","","","","","","","","","","21","","2","","","","","","","","","","","","","","","","","","","","","","","","","","19380522","2","PIT09","PTC","l","regular","","1938"
"BLG193806020","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","5","","","","","","","","","","","","","","","","","27","","","","","","","9","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380602","0","BAL14","PTC","l","regular","","1938"
"HOM193806120","BLG","0","0","0","2","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","10","","value","39","28","2","5","","","","","4","","0","7","","","","","","","","24","","37","12","","","","6","","1","","","0","","","3","","","","","24","","2","","","","","","","kimbh102","snowf101","hughs101","westj102","wrigb104","byrdb101","mackb102","walkh103","grifb102","grifb102","mackb102","westj102","hughs101","snowf101","walkh103","byrdb101","kimbh102","wrigb104","","19380612","0","IND10","HOM","l","regular","y","1938"
"HOM193806140","BLG","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","5","","value","32","32","0","4","","","0","0","0","0","0","0","0","","","","","","","24","","42","17","","","2","11","","4","","","0","","","0","","","","","24","","0","","","","","","","kimbh102","hughs101","wrigb104","westj102","byrdb101","mackb102","snowf101","walkh103","glovt101","glovt101","mackb102","westj102","hughs101","snowf101","walkh103","byrdb101","kimbh102","wrigb104","","19380614","0","LOU05","HOM","l","regular","y","1938"
"HOM193806150","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","4","","","","","","","","","","","","","","","","","24","","","","","","1","11","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380615","0","LOU05","HOM","l","regular","","1938"
"HOM193806150","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","31","","4","2","2","","","","","","","","","","","","","","","24","","","4","","","1","11","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380615","0","LOU05","HOM","l","regular","","1938"
"HOM193806160","BLG","0","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","10","","value","38","33","1","6","","","","","0","","0","5","","","","","","","","24","","37","8","","","","5","5","5","","","0","","","1","","","","","24","","0","","","","","","","kimbh102","snowf101","hughs101","westj102","wrigb104","byrdb101","mackb102","walkh103","gainj102","gainj102","mackb102","westj102","hughs101","snowf101","walkh103","byrdb101","kimbh102","wrigb104","","19380616","0","MID02","HOM","l","regular","y","1938"
"BLG193806180","BLG","3","0","2","1","3","1","0","2","x","","","","","","","","","","","","","","","","","","","","","","value","","","12","16","","","3","","","","","","","","","","","","","27","","","15","","","4","11","","","","","","","","","","","","","27","","2","","","","","","","","","","","","","","","","direj101","campr102","","","","","","","","","19380618","0","SPR04","HOM","w","regular","","1938"
"HOM193806191","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","7","","","","","","","","","","","","","","","","","24","","","","","","","8","","","","","","","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380619","1","COL05","HOM","l","regular","","1938"
"HOM193806192","BLG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","9","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380619","2","COL05","HOM","l","regular","","1938"
"HOM193806220","BLG","2","2","0","0","1","6","1","0","1","","","","","","","","","","","","","","","","","","","","","","value","","","13","","","","","","","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","","","","27","","","","","","","","","","","","","","","","","","direj101","campr102","","","","","","","","","19380622","0","SCP01","HOM","w","exhibition","","1938"
"BLG193807031","BLG","0","3","3","2","3","3","0","4","x","","","","","","","","","","","","","","","","","","","","3","","value","45","45","18","20","","","","","","","","","","","","","","","","27","","45","17","","","","9","","","","","","","","","","","","","27","11","","","","","","","","kimbh102","snowf101","hughs101","westj102","wrigb104","scalg101","mackb102","walkh103","grifb102","","","","","","","","","","","19380703","1","BAL14","NW2","w","regular","y","1938"
