ID,Player,Year,Team,Type,Pos,Cat,Game,Retro,Official,Cross,Code,,Notes,Accepted
"1957N0084","lopas101",1957,"PHI","O",,"GDP","NY1195705290",1,0,,,,
"1957N0085","mores101",1957,"PHI","O",,"AB","PHI195709290",2,3,,,,
"1957N0086","mores101",1957,"PHI","O",,"SH","PHI195709290",1,0,,,,
"1957N0087","repur101",1957,"PHI","O",,"CS","PHI195709012",1,0,"1957N0059","SWAP",,
"1957N0088","rober102",1957,"PHI","O",,"SO","PHI195709011",0,1,"1957N0205",,,
"1957N0089","rober102",1957,"PHI","O",,"SH","PHI195705020",1,0,"1957N0070","SWAP",,
"1957N0090","arrol101",1957,"PIT","O",,"GDP","CHN195705140",1,0,,,,
"1957N0092","bakeg101",1957,"PIT","O",,"GDP","PIT195705052",1,0,,,,
"1957N0093","bakeg101",1957,"PIT","O",,"GDP","PIT195705290",1,0,,,,
"1957N0094","clemr101",1957,"PIT","O",,"GDP","CIN195706231",1,0,,,,
"1957N0095","facer101",1957,"PIT","O",,"SO","NY1195709030",1,0,"1957N0104","SWAP",,
"1957N0096","foilh101",1957,"PIT","O",,"SO","BRO195704212",1,0,"1957N0101","SWAP",,
"1957N0097","freeg102",1957,"PIT","O",,"RBI","NY1195709030",1,0,"1957N0100","SWAP",,
"1957N0098","freeg102",1957,"PIT","O",,"SB","NY1195709290",1,0,,,,
"1957N0099","frieb102",1957,"PIT","O",,"SO","PIT195706091",0,1,,,,
"1957N0100","groad101",1957,"PIT","O",,"RBI","NY1195709030",0,1,"1957N0097","SWAP",,
"1957N0101","kravd101",1957,"PIT","O",,"SO","BRO195704212",1,2,"1957N0096","SWAP",,
"1957N0102","mazeb101",1957,"PIT","O",,"SO","PIT195708251",1,0,"1957N0105","SWAP",,
"1957N0104","smitb109",1957,"PIT","O",,"SO","NY1195709030",0,1,"1957N0095","SWAP",,
"1957N0105","thomf103",1957,"PIT","O",,"SO","PIT195708251",0,1,"1957N0102","SWAP",,
