id1,relation,id2
hairs101,Grandfather,hairj002
hairs101,Grandfather,hairs001
hallb101,Uncle,hallb102
hallb901,Brother,hallt102
hamma001,Father-in-Law,gomey001
hamms101,Brother,hammc001
hamng102,Brother,hamng101
hancc101,Brother,hanca101
handg101,Brother,handl101
hanel101,Father,hanec001
hannj104,Father,hannl102
hargb101,Brother,hargp101
harrb117,Brother,harrn102
harrb117,Brother,harrv102
harrj103,Great Uncle,renih101
harrn102,Brother,harrv102
harrp001,Cousin,clybd001
harrs105,Brother,harrv104
harrs105,Brother-in-Law,housj103
harrv104,Brother-in-Law,housj103
harvb001,Father,harvh001
hatfg101,Brother,hatfj101
hathr101,Uncle,burbd001
hayec001,Father,hayek001
haywr102,Brother,haywr101
healf101,Uncle,healf102
hegaj101,Father,hegam101
heink101,Father,heint101
heint001,Brother,heins001
heisc102,Father,heisj101
helmt101,Uncle,helmw001
hempc101,Brother,hempf101
hendh103,Brother,hendl101
hendj102,Uncle,hendd001
hengm101,Brother,henge801
hernf001,Father,hernj004
hernl003,Half Brother,herno001
herrm102,Grandfather,herre102
hevij102,Brother,hevij101
higha101,Brother,highc101
higha101,Brother,highh101
highc101,Brother,highh101
hillh104,Brother,hillb102
hinch101,Brother,hincb101
hineb801,Father,hineb802
hirsj901,Brother,hirsm901
hitcj101,Brother,hitcb101
hoffg001,Brother,hofft001
hofms101,Uncle,hofmb101
hogag101,Brother,hogaw101
holbr001,Brother,holba001
hollm001,Father,hollj003
holmb001,Brother,holmb002
hoodw101,Father,hoodw102
houkr101,Great Grandson,gavis001
howab101,Father,howad001
howad102,Brother,howai101
hughe101,Brother,hught103
hulet001,Father,hulet002
hundr101,Father,hundt001
huntg101,Brother,huntb103
ignag101,Brother,ignam001
iorgd001,Brother,iorgg001
irvic101,Brother,irvim101
irwia101,Brother,irwij101
isrec101,Brother,isree101
iztuc001,Half Brother,iztum001
jackd004,Brother,jackb002
jacqp101,Father,jacqt001
jarar801,Uncle,jarat801
javij101,Father,javis001
jeffg101,Brother,jeffh101
jeffw101,Brother,jeffg102
jetej101,Father,jetes001
jimee101,Brother,jimem101
jimee901,Brother,jimee902
jimej003,Brother,jimea001
jirsm801,Father,jirsj801
johnb102,Brother,johnr102
johnc101,Brother,johne105
johnd001,Father,johns001
johne102,Father,johnd101
johnj107,Brother,johnd107
johnr002,Father,johnc003
johnr104,Father,johnr105
johnw901,Brother,johnt104
joned105,Brother,jonel001
joneg102,Brother,jones101
jonnb101,Brother,jonnc101
jorga101,Brother,jorgo101
josec001,Brother,josec002
josen101,Brother,josew101
jungj001,Brother,jungj002
jurae101,Brother,juraj101
juulh101,Brother,juulh102
kapph101,Brother,kappj101
keefj101,Cousin,keeft101
kella103,Brother,kellw101
kellc101,Brother,kellh103
kellc102,Brother,kellj104
kelld001,Brother-in-Law,walkn001
kellg101,Brother,kellr102
kellj901,Brother-in-Law,welkb901
kellj901,Brother-in-Law,welkt901
kellp102,Father,kellc001
kells102,Brother,kellg102
kendf101,Father,kendj001
kennb104,Father,kennt001
kennj106,Brother,kennj101
keouj101,Brother,keoum101
keouj101,Uncle,keoum001
keoum101,Father,keoum001
kessd101,Father,kessk001
kessd101,Grandfather,kessg001
kessk001,Uncle,kessg001
kiebc001,Brother,kiebs001
kiefs001,Brother,kiefm001
kiesb001,Uncle,kiesr001
killr101,Brother,killb101
kilrm102,Brother,kilrm101
klaub102,Brother,klaub101
klinj101,Brother,klinb102
knodm101,Brother,knodr101
knotg101,Brother,knotf101
kolbg101,Cousin,kolbd001
kopfw101,Brother,kopfl101
kraul101,Father,kraul102
krsnm101,Brother,krsnr101
kubej002,Brother-in-Law,tonkm001
